Problem,Alpha,Beta,DepthCut,NodesProcessed,NumSols,NumberofGeneratedSolutions,PercentNearOptimal,SolCut,Time(ms),diversity,nodeType
fiber(50),0.010000,0.020000,0.000000,0,50,83,0.010000,0.300000,807.463379,0.004887,DiversiTree
fiber(50),0.010000,0.020000,0.000000,0,50,83,0.010000,0.400000,727.076538,0.004887,DiversiTree
fiber(50),0.010000,0.020000,0.000000,0,50,83,0.010000,0.500000,692.319519,0.004887,DiversiTree
fiber(50),0.010000,0.020000,0.000000,0,50,83,0.010000,0.600000,754.258362,0.004887,DiversiTree
fiber(50),0.010000,0.020000,0.000000,0,50,83,0.010000,0.700000,778.545471,0.004887,DiversiTree
fiber(50),0.010000,0.020000,0.000000,0,50,83,0.010000,0.800000,761.846924,0.004887,DiversiTree
fiber(50),0.010000,0.020000,0.000000,0,50,83,0.010000,0.900000,744.784119,0.004887,DiversiTree
fiber(50),0.010000,0.030000,0.000000,0,50,50,0.010000,0.000000,2307.846436,0.018425,DiversiTree
fiber(50),0.010000,0.030000,0.000000,0,50,93,0.010000,0.010000,1226.462036,0.009059,DiversiTree
fiber(50),0.010000,0.030000,0.000000,0,50,93,0.010000,0.020000,1217.529175,0.009059,DiversiTree
fiber(50),0.010000,0.030000,0.000000,0,50,83,0.010000,0.030000,846.203613,0.004887,DiversiTree
fiber(50),0.010000,0.030000,0.000000,0,50,83,0.010000,0.040000,875.500061,0.004887,DiversiTree
fiber(50),0.010000,0.030000,0.000000,0,50,83,0.010000,0.050000,853.687012,0.004887,DiversiTree
fiber(50),0.010000,0.030000,0.000000,0,50,83,0.010000,0.060000,854.754700,0.004887,DiversiTree
fiber(50),0.010000,0.030000,0.000000,0,50,83,0.010000,0.070000,848.632629,0.004887,DiversiTree
fiber(50),0.010000,0.030000,0.000000,0,50,83,0.010000,0.080000,850.339417,0.004887,DiversiTree
fiber(50),0.010000,0.030000,0.000000,0,50,83,0.010000,0.090000,819.187378,0.004887,DiversiTree
fiber(50),0.010000,0.030000,0.000000,0,50,83,0.010000,0.100000,846.202332,0.004887,DiversiTree
fiber(50),0.010000,0.030000,0.000000,0,50,83,0.010000,0.200000,801.895264,0.004887,DiversiTree
fiber(50),0.010000,0.030000,0.000000,0,50,83,0.010000,0.300000,812.228027,0.004887,DiversiTree
fiber(50),0.010000,0.030000,0.000000,0,50,83,0.010000,0.400000,698.254272,0.004887,DiversiTree
fiber(50),0.010000,0.030000,0.000000,0,50,83,0.010000,0.500000,715.551819,0.004887,DiversiTree
fiber(50),0.010000,0.030000,0.000000,0,50,83,0.010000,0.600000,694.640198,0.004887,DiversiTree
fiber(50),0.010000,0.030000,0.000000,0,50,83,0.010000,0.700000,723.253540,0.004887,DiversiTree
fiber(50),0.010000,0.030000,0.000000,0,50,83,0.010000,0.800000,723.605835,0.004887,DiversiTree
fiber(50),0.010000,0.030000,0.000000,0,50,83,0.010000,0.900000,741.511230,0.004887,DiversiTree
fiber(50),0.010000,0.040000,0.000000,0,50,50,0.010000,0.000000,2291.874512,0.018425,DiversiTree
fiber(50),0.010000,0.040000,0.000000,0,50,93,0.010000,0.010000,1247.475586,0.009059,DiversiTree
fiber(50),0.010000,0.040000,0.000000,0,50,93,0.010000,0.020000,1277.972656,0.009059,DiversiTree
fiber(50),0.010000,0.040000,0.000000,0,50,83,0.010000,0.030000,883.510193,0.004887,DiversiTree
fiber(50),0.010000,0.040000,0.000000,0,50,83,0.010000,0.040000,872.375061,0.004887,DiversiTree
fiber(50),0.010000,0.040000,0.000000,0,50,83,0.010000,0.050000,854.251770,0.004887,DiversiTree
fiber(50),0.010000,0.040000,0.000000,0,50,83,0.010000,0.060000,843.863831,0.004887,DiversiTree
fiber(50),0.010000,0.040000,0.000000,0,50,83,0.010000,0.070000,840.859192,0.004887,DiversiTree
