Problem,Alpha,Beta,DepthCut,NodesProcessed,NumSols,NumberofGeneratedSolutions,PercentNearOptimal,SolCut,Time(ms),diversity,nodeType
dcmulti(100),0.100000,0.900000,0.000000,0,100,101,0.050000,0.200000,3249.802246,0.271562,DiversiTree
dcmulti(100),0.000000,0.000000,0.000000,0,100,101,0.050000,0.000000,2644.446777,0.235078,bfsProblem,Alpha,Beta,DepthCut,NodesProcessed,NumSols,NumberofGeneratedSolutions,PercentNearOptimal,SolCut,Time(ms),diversity,nodeType
gen(100),0.100000,0.900000,0.000000,0,100,101,0.050000,0.200000,1295.243652,0.192448,DiversiTree
gen(100),0.000000,0.000000,0.000000,0,100,101,0.050000,0.000000,314.183441,0.156900,bfsProblem,Alpha,Beta,DepthCut,NodesProcessed,NumSols,NumberofGeneratedSolutions,PercentNearOptimal,SolCut,Time(ms),diversity,nodeType
gt2(100),0.100000,0.900000,0.000000,0,100,101,0.050000,0.200000,4343.550781,0.063466,DiversiTree
gt2(100),0.000000,0.000000,0.000000,0,100,101,0.050000,0.000000,3022.590576,0.066733,bfsProblem,Alpha,Beta,DepthCut,NodesProcessed,NumSols,NumberofGeneratedSolutions,PercentNearOptimal,SolCut,Time(ms),diversity,nodeType
p0201(100),0.100000,0.900000,0.000000,0,100,102,0.050000,0.200000,2664.787354,0.140674,DiversiTree
p0201(100),0.000000,0.000000,0.000000,0,100,110,0.050000,0.000000,1800.929443,0.150208,bfsProblem,Alpha,Beta,DepthCut,NodesProcessed,NumSols,NumberofGeneratedSolutions,PercentNearOptimal,SolCut,Time(ms),diversity,nodeType
p0033(100),0.100000,0.900000,0.000000,0,100,55,0.050000,0.200000,192.660858,0.232427,DiversiTree
p0033(100),0.000000,0.000000,0.000000,0,100,55,0.050000,0.000000,134.654861,0.232427,bfs
