Problem,Alpha,Beta,DepthCut,NodesProcessed,NumSols,NumberofGeneratedSolutions,PercentNearOptimal,SolCut,Time(ms),diversity,nodeType
gen(100),0.01,0.01,0,0,100,101,0.01,0.4,1380.47583,0.151854,DiversiTree
gen(100),0.01,0.01,0,0,100,101,0.01,0.5,1361.888916,0.151749,DiversiTree
gen(100),0.01,0.01,0,0,100,101,0.01,0.6,1066.386353,0.150608,DiversiTree
gen(100),0.01,0.01,0,0,100,101,0.01,0.7,994.130676,0.153408,DiversiTree
gen(100),0.01,0.01,0,0,100,101,0.01,0.8,918.996216,0.156903,DiversiTree
gen(100),0.01,0.01,0,0,100,101,0.01,0.9,740.049561,0.156882,DiversiTree
gen(100),0.01,0.02,0,0,100,101,0.01,0,1566.781006,0.149046,DiversiTree
gen(100),0.01,0.02,0,0,100,101,0.01,0.01,1611.173096,0.149046,DiversiTree
gen(100),0.01,0.02,0,0,100,101,0.01,0.02,1559.34021,0.149046,DiversiTree
gen(100),0.01,0.02,0,0,100,101,0.01,0.03,1573.962646,0.145649,DiversiTree
gen(100),0.01,0.02,0,0,100,101,0.01,0.04,1578.166382,0.145649,DiversiTree
gen(100),0.01,0.02,0,0,100,101,0.01,0.05,1522.508911,0.171461,DiversiTree
gen(100),0.01,0.02,0,0,100,101,0.01,0.06,1521.445801,0.171461,DiversiTree
gen(100),0.01,0.02,0,0,100,101,0.01,0.07,1555.363159,0.171461,DiversiTree
gen(100),0.01,0.02,0,0,100,101,0.01,0.08,1510.113525,0.171461,DiversiTree
gen(100),0.01,0.02,0,0,100,101,0.01,0.09,1566.793701,0.171461,DiversiTree
gen(100),0.01,0.02,0,0,100,101,0.01,0.1,1517.017822,0.171461,DiversiTree
gen(100),0.01,0.02,0,0,100,101,0.01,0.2,1799.628662,0.175583,DiversiTree
gen(100),0.01,0.02,0,0,100,101,0.01,0.3,1585.056519,0.160396,DiversiTree
gen(100),0.01,0.02,0,0,100,101,0.01,0.4,1706.203247,0.164833,DiversiTree
gen(100),0.01,0.02,0,0,100,101,0.01,0.5,1505.501587,0.161397,DiversiTree
gen(100),0.01,0.02,0,0,100,101,0.01,0.6,1425.116943,0.158837,DiversiTree
gen(100),0.01,0.02,0,0,100,101,0.01,0.7,1460.736938,0.159079,DiversiTree
gen(100),0.01,0.02,0,0,100,101,0.01,0.8,1103.679199,0.164899,DiversiTree
gen(100),0.01,0.02,0,0,100,101,0.01,0.9,843.397705,0.157701,DiversiTree
gen(100),0.01,0.03,0,0,100,101,0.01,0,1602.729004,0.149742,DiversiTree
gen(100),0.01,0.03,0,0,100,101,0.01,0.01,1624.014771,0.149742,DiversiTree
gen(100),0.01,0.03,0,0,100,101,0.01,0.02,1582.011475,0.149742,DiversiTree
gen(100),0.01,0.03,0,0,100,101,0.01,0.03,1611.83313,0.155531,DiversiTree
gen(100),0.01,0.03,0,0,100,101,0.01,0.04,1624.930176,0.155531,DiversiTree
gen(100),0.01,0.03,0,0,100,101,0.01,0.05,1307.893311,0.16088,DiversiTree
gen(100),0.01,0.03,0,0,100,101,0.01,0.06,1314.891968,0.16088,DiversiTree
gen(100),0.01,0.03,0,0,100,101,0.01,0.07,1312.171509,0.16088,DiversiTree
gen(100),0.01,0.03,0,0,100,101,0.01,0.08,1283.28064,0.16088,DiversiTree
gen(100),0.01,0.03,0,0,100,101,0.01,0.09,1284.542847,0.16088,DiversiTree
gen(100),0.01,0.03,0,0,100,101,0.01,0.1,1305.737305,0.16088,DiversiTree
gen(100),0.01,0.03,0,0,100,101,0.01,0.2,1526.515747,0.175432,DiversiTree
gen(100),0.01,0.03,0,0,100,101,0.01,0.3,1507.113037,0.175432,DiversiTree
gen(100),0.01,0.03,0,0,100,101,0.01,0.4,1609.842896,0.181147,DiversiTree
gen(100),0.01,0.03,0,0,100,101,0.01,0.5,1686.089722,0.169214,DiversiTree
gen(100),0.01,0.03,0,0,100,101,0.01,0.6,1771.62085,0.161769,DiversiTree
gen(100),0.01,0.03,0,0,100,101,0.01,0.7,1608.275635,0.166188,DiversiTree
gen(100),0.01,0.03,0,0,100,101,0.01,0.8,1085.587036,0.16824,DiversiTree
gen(100),0.01,0.03,0,0,100,101,0.01,0.9,957.243896,0.16574,DiversiTree
gen(100),0.01,0.04,0,0,100,101,0.01,0,1391.971924,0.150223,DiversiTree
gen(100),0.01,0.04,0,0,100,101,0.01,0.01,1432.782837,0.150223,DiversiTree
gen(100),0.01,0.04,0,0,100,101,0.01,0.02,1489.195068,0.150223,DiversiTree
gen(100),0.01,0.04,0,0,100,101,0.01,0.03,1521.856812,0.188826,DiversiTree
gen(100),0.01,0.04,0,0,100,101,0.01,0.04,1614.350586,0.188826,DiversiTree
gen(100),0.01,0.04,0,0,100,101,0.01,0.05,1404.262817,0.167322,DiversiTree
gen(100),0.01,0.04,0,0,100,101,0.01,0.06,1430.312744,0.167322,DiversiTree
gen(100),0.01,0.04,0,0,100,101,0.01,0.07,1404.496338,0.167322,DiversiTree
gen(100),0.01,0.04,0,0,100,101,0.01,0.08,1436.032471,0.167322,DiversiTree
gen(100),0.01,0.04,0,0,100,101,0.01,0.09,1413.774658,0.167322,DiversiTree
gen(100),0.01,0.04,0,0,100,101,0.01,0.1,1448.049805,0.167322,DiversiTree
gen(100),0.01,0.04,0,0,100,101,0.01,0.2,1501.528198,0.170735,DiversiTree
gen(100),0.01,0.04,0,0,100,101,0.01,0.3,1387.223633,0.159857,DiversiTree
gen(100),0.01,0.04,0,0,100,101,0.01,0.4,1512.215942,0.185605,DiversiTree
gen(100),0.01,0.04,0,0,100,101,0.01,0.5,1547.479248,0.173944,DiversiTree
gen(100),0.01,0.04,0,0,100,101,0.01,0.6,1655.411499,0.15706,DiversiTree
gen(100),0.01,0.04,0,0,100,101,0.01,0.7,1558.942993,0.167723,DiversiTree
gen(100),0.01,0.04,0,0,100,101,0.01,0.8,1342.70459,0.169844,DiversiTree
gen(100),0.01,0.04,0,0,100,101,0.01,0.9,1013.571533,0.166304,DiversiTree
gen(100),0.01,0.05,0,0,100,101,0.01,0,1961.060181,0.182594,DiversiTree
gen(100),0.01,0.05,0,0,100,101,0.01,0.01,1880.526001,0.182594,DiversiTree
gen(100),0.01,0.05,0,0,100,101,0.01,0.02,1853.055664,0.182594,DiversiTree
gen(100),0.01,0.05,0,0,100,101,0.01,0.03,1603.436768,0.191317,DiversiTree
gen(100),0.01,0.05,0,0,100,101,0.01,0.04,1602.876099,0.191317,DiversiTree
gen(100),0.01,0.05,0,0,100,101,0.01,0.05,1498.011475,0.145916,DiversiTree
gen(100),0.01,0.05,0,0,100,101,0.01,0.06,1499.561035,0.145916,DiversiTree
gen(100),0.01,0.05,0,0,100,101,0.01,0.07,1398.035767,0.145916,DiversiTree
gen(100),0.01,0.05,0,0,100,101,0.01,0.08,1409.282104,0.145916,DiversiTree
gen(100),0.01,0.05,0,0,100,101,0.01,0.09,1418.645508,0.145916,DiversiTree
gen(100),0.01,0.05,0,0,100,101,0.01,0.1,1379.377563,0.145916,DiversiTree
gen(100),0.01,0.05,0,0,100,101,0.01,0.2,1407.14209,0.147054,DiversiTree
gen(100),0.01,0.05,0,0,100,101,0.01,0.3,1508.855469,0.159667,DiversiTree
gen(100),0.01,0.05,0,0,100,101,0.01,0.4,1725.5448,0.181579,DiversiTree
gen(100),0.01,0.05,0,0,100,101,0.01,0.5,1654.611938,0.166226,DiversiTree
gen(100),0.01,0.05,0,0,100,101,0.01,0.6,1715.896729,0.170267,DiversiTree
gen(100),0.01,0.05,0,0,100,101,0.01,0.7,1629.321533,0.169316,DiversiTree
gen(100),0.01,0.05,0,0,100,101,0.01,0.8,1208.263184,0.173262,DiversiTree
gen(100),0.01,0.05,0,0,100,101,0.01,0.9,1067.580933,0.166304,DiversiTree
gen(100),0.01,0.06,0,0,100,101,0.01,0,1753.389282,0.151131,DiversiTree
gen(100),0.01,0.06,0,0,100,101,0.01,0.01,1843.199463,0.151131,DiversiTree
gen(100),0.01,0.06,0,0,100,101,0.01,0.02,2247.402344,0.151131,DiversiTree
gen(100),0.01,0.06,0,0,100,101,0.01,0.03,1708.054443,0.189244,DiversiTree
gen(100),0.01,0.06,0,0,100,101,0.01,0.04,1661.405884,0.189244,DiversiTree
gen(100),0.01,0.06,0,0,100,101,0.01,0.05,1379.108643,0.163345,DiversiTree
gen(100),0.01,0.06,0,0,100,101,0.01,0.06,1406.500488,0.163345,DiversiTree
gen(100),0.01,0.06,0,0,100,101,0.01,0.07,1341.728882,0.163345,DiversiTree
gen(100),0.01,0.06,0,0,100,101,0.01,0.08,1519.150879,0.163345,DiversiTree
gen(100),0.01,0.06,0,0,100,101,0.01,0.09,1448.025024,0.163345,DiversiTree
gen(100),0.01,0.06,0,0,100,101,0.01,0.1,1493.163208,0.163345,DiversiTree
gen(100),0.01,0.06,0,0,100,101,0.01,0.2,1682.03186,0.166769,DiversiTree
gen(100),0.01,0.06,0,0,100,101,0.01,0.3,1615.984985,0.166117,DiversiTree
gen(100),0.01,0.06,0,0,100,101,0.01,0.4,1870.463257,0.160086,DiversiTree
gen(100),0.01,0.06,0,0,100,101,0.01,0.5,1912.090576,0.174731,DiversiTree
gen(100),0.01,0.06,0,0,100,101,0.01,0.6,1866.200073,0.168468,DiversiTree
gen(100),0.01,0.06,0,0,100,101,0.01,0.7,1692.948608,0.169316,DiversiTree
gen(100),0.01,0.06,0,0,100,101,0.01,0.8,1420.016968,0.173262,DiversiTree
gen(100),0.01,0.06,0,0,100,101,0.01,0.9,1158.109131,0.166304,DiversiTree
gen(100),0.01,0.07,0,0,100,101,0.01,0,1812.67688,0.175369,DiversiTree
gen(100),0.01,0.07,0,0,100,101,0.01,0.01,1663.11438,0.175369,DiversiTree
gen(100),0.01,0.07,0,0,100,101,0.01,0.02,1768.136597,0.175369,DiversiTree
gen(100),0.01,0.07,0,0,100,101,0.01,0.03,1601.076782,0.168694,DiversiTree
gen(100),0.01,0.07,0,0,100,101,0.01,0.04,1971.261108,0.168694,DiversiTree
gen(100),0.01,0.07,0,0,100,101,0.01,0.05,1373.030273,0.151122,DiversiTree
gen(100),0.01,0.07,0,0,100,101,0.01,0.06,1422.668091,0.151122,DiversiTree
gen(100),0.01,0.07,0,0,100,101,0.01,0.07,1383.278076,0.151122,DiversiTree
gen(100),0.01,0.07,0,0,100,101,0.01,0.08,1352.675659,0.151122,DiversiTree
gen(100),0.01,0.07,0,0,100,101,0.01,0.09,1525.660522,0.151122,DiversiTree
gen(100),0.01,0.07,0,0,100,101,0.01,0.1,1329.430176,0.151122,DiversiTree
gen(100),0.01,0.07,0,0,100,101,0.01,0.2,1440.323975,0.173785,DiversiTree
gen(100),0.01,0.07,0,0,100,101,0.01,0.3,1492.948364,0.172478,DiversiTree
gen(100),0.01,0.07,0,0,100,101,0.01,0.4,1862.751343,0.148625,DiversiTree
gen(100),0.01,0.07,0,0,100,101,0.01,0.5,2076.960449,0.181862,DiversiTree
gen(100),0.01,0.07,0,0,100,101,0.01,0.6,1840.453369,0.183017,DiversiTree
gen(100),0.01,0.07,0,0,100,101,0.01,0.7,1642.141357,0.165905,DiversiTree
gen(100),0.01,0.07,0,0,100,101,0.01,0.8,1148.561035,0.170221,DiversiTree
gen(100),0.01,0.07,0,0,100,101,0.01,0.9,987.537964,0.166304,DiversiTree
gen(100),0.01,0.08,0,0,100,101,0.01,0,2312.789062,0.167324,DiversiTree
gen(100),0.01,0.08,0,0,100,101,0.01,0.01,2512.204346,0.167324,DiversiTree
gen(100),0.01,0.08,0,0,100,101,0.01,0.02,2124.825684,0.167324,DiversiTree
gen(100),0.01,0.08,0,0,100,101,0.01,0.03,1507.293945,0.17255,DiversiTree
gen(100),0.01,0.08,0,0,100,101,0.01,0.04,1559.070435,0.17255,DiversiTree
gen(100),0.01,0.08,0,0,100,101,0.01,0.05,1557.443237,0.154219,DiversiTree
gen(100),0.01,0.08,0,0,100,101,0.01,0.06,1557.715576,0.154219,DiversiTree
gen(100),0.01,0.08,0,0,100,101,0.01,0.07,1573.222412,0.154219,DiversiTree
gen(100),0.01,0.08,0,0,100,101,0.01,0.08,1710.732666,0.154219,DiversiTree
gen(100),0.01,0.08,0,0,100,101,0.01,0.09,1595.175415,0.154219,DiversiTree
gen(100),0.01,0.08,0,0,100,101,0.01,0.1,1465.321899,0.154219,DiversiTree
gen(100),0.01,0.08,0,0,100,101,0.01,0.2,1574.669434,0.167459,DiversiTree
gen(100),0.01,0.08,0,0,100,101,0.01,0.3,1454.585449,0.173972,DiversiTree
gen(100),0.01,0.08,0,0,100,101,0.01,0.4,1581.358398,0.155869,DiversiTree
gen(100),0.01,0.08,0,0,100,101,0.01,0.5,1729.336792,0.181862,DiversiTree
gen(100),0.01,0.08,0,0,100,101,0.01,0.6,1840.37439,0.183017,DiversiTree
gen(100),0.01,0.08,0,0,100,101,0.01,0.7,1810.388916,0.166125,DiversiTree
gen(100),0.01,0.08,0,0,100,101,0.01,0.8,1623.230957,0.171101,DiversiTree
gen(100),0.01,0.08,0,0,100,101,0.01,0.9,1023.44812,0.166304,DiversiTree
gen(100),0.01,0.09,0,0,100,101,0.01,0,1992.680786,0.181634,DiversiTree
gen(100),0.01,0.09,0,0,100,101,0.01,0.01,2054.342773,0.181634,DiversiTree
gen(100),0.01,0.09,0,0,100,101,0.01,0.02,2126.079102,0.181634,DiversiTree
gen(100),0.01,0.09,0,0,100,101,0.01,0.03,1361.989014,0.156678,DiversiTree
gen(100),0.01,0.09,0,0,100,101,0.01,0.04,1416.076416,0.156678,DiversiTree
gen(100),0.01,0.09,0,0,100,101,0.01,0.05,1477.254517,0.154219,DiversiTree
gen(100),0.01,0.09,0,0,100,101,0.01,0.06,1466.769775,0.154219,DiversiTree
gen(100),0.01,0.09,0,0,100,101,0.01,0.07,1851.172363,0.154219,DiversiTree
